0	212841584
2	24314082
3	16570670
4	988004
5	13851243
6	530078
7	754679
8	768152
9	17068
10	19266396
11	16604
12	1232053
13	754287
14	17660
15	9521876
16	6490
17	571420
18	52429
19	5942
20	1938562
22	21221
23	82888
25	1723810
26	136
27	35178
28	29703
29	330
30	101815
31	318
32	745
33	77
35	53535
37	339
38	760
40	70771
42	1080
43	488
45	7592
48	108
50	2192678
52	108305
53	41152
54	60
55	41329
56	420
57	565
58	1344
60	25394
63	324
65	64219
67	1902
70	2506
75	11908
77	208
78	120
90	732
100	1306170
102	3815
103	37559
105	25268
106	84
108	968
110	38789
113	795
115	49378
117	272
118	96
120	850
125	4165
128	47
130	48
140	119
150	428273
152	21447
153	1001
154	128
155	10301
157	320
158	136
160	12342
162	657
163	12
165	6708
167	24
170	336
175	1492
177	48
178	16
185	118
190	6
200	2212
202	134
205	228
210	50
225	60
250	261798
252	3932
253	5191
255	30
260	4728
262	96
263	199
265	8356
267	344
268	176
270	1170
273	6
275	584
280	40
300	1675
302	66
303	10
315	224
350	496
353	12
365	40
400	386
402	16
403	8
410	80
415	6
450	18
500	206628
502	8654
503	1940
505	3383
507	70
508	159
510	970
513	15
515	2467
517	256
520	327
525	813
527	26
528	13
540	86
550	4116
600	901
603	33
615	47
650	164
652	18
655	30
660	4
750	83
752	4
765	18
900	6
1000	147
1500	21120
1503	126
1505	1084
1515	54
1525	96
1750	20
